Time,NetEnergy,DiffEnergy
0.0577679,39.184,0.0662636
0.0579821,39.2765,0.092464
0.058,39.2889,0.012401
0.058,39.2889,1.2945e-06
0.0580179,39.3551,0.0662636
0.0582321,39.4476,0.092464
0.05825,39.46,0.012401
0.05825,39.46,1.2945e-06
0.0582679,39.5263,0.0662636
0.0584821,39.6187,0.092464
0.0585,39.6311,0.012401
0.0585,39.6311,1.2945e-06
0.0585179,39.6974,0.0662636
0.0587321,39.7899,0.092464
0.05875,39.8023,0.012401
0.05875,39.8023,1.2945e-06
0.0587679,39.8685,0.0662636
0.0589821,39.961,0.092464
0.059,39.9734,0.012401
0.059,39.9734,1.2945e-06
0.0590179,40.0397,0.0662636
0.0592321,40.1321,0.092464
0.05925,40.1445,0.012401
0.05925,40.1445,1.2945e-06
0.0592679,40.2108,0.0662636
0.0594821,40.3032,0.092464
0.0595,40.3157,0.012401
0.0595,40.3157,1.2945e-06
0.0595179,40.3819,0.0662636
0.0597321,40.4744,0.092464
0.05975,40.4868,0.012401
0.05975,40.4868,1.2945e-06
0.0597679,40.553,0.0662636
0.0599821,40.6455,0.092464
0.06,40.6579,0.012401
0.06,40.6579,1.2945e-06
0.0600179,40.7242,0.0662636
0.0602321,40.8166,0.092464
0.06025,40.829,0.012401
0.06025,40.829,1.2945e-06
0.0602679,40.8953,0.0662636
0.0604821,40.9878,0.092464
0.0605,41.0002,0.012401
0.0605,41.0002,1.2945e-06
0.0605179,41.0664,0.0662636
0.0607321,41.1589,0.092464
0.06075,41.1713,0.012401
0.06075,41.1713,1.2945e-06
0.0607679,41.2376,0.0662636
0.0609821,41.33,0.092464
0.061,41.3424,0.012401
0.061,41.3424,1.2945e-06
0.0610179,41.4087,0.0662636
0.0612321,41.5012,0.092464
0.06125,41.5136,0.012401
0.06125,41.5136,1.2945e-06
0.0612679,41.5798,0.0662636
0.0614821,41.6723,0.092464
0.0615,41.6847,0.012401
0.0615,41.6847,1.2945e-06
0.0615179,41.751,0.0662636
0.0617321,41.8434,0.092464
0.06175,41.8558,0.012401
0.06175,41.8558,1.2945e-06
